song,artist,url,lyrics,year
Mad World,Gary Jules,https://www.azlyrics.com/lyrics/garyjules/madworld.html,"All around me are familiar faces
Worn out places, worn out faces
Bright and early for their daily races
Going nowhere, going nowhere

Their tears are filling up their glasses
No expression, no expression
Hide my head, I wanna drown my sorrow
No tomorrow, no tomorrow

And I find it kinda funny
I find it kinda sad
The dreams in which I'm dying
Are the best I've ever had
I find it hard to tell you
I find it hard to take
When people run in circles
It's a very, very mad world, mad world

Children waiting for the day they feel good
Happy Birthday, Happy Birthday
And I feel the way that every child should
Sit and listen, sit and listen

Went to school and I was very nervous
No one knew me, no one knew me
Hello teacher tell me what's my lesson
Look right through me, look right through me

And I find it kinda funny
I find it kinda sad
The dreams in which I'm dying
Are the best I've ever had
I find it hard to tell you
I find it hard to take
When people run in circles
It's a very, very mad world, mad world

Enlarging your world
Mad world",2001
Hurt,Johnny Cash,https://www.azlyrics.com/lyrics/johnnycash/hurt.html,"I hurt myself today
To see if I still feel
I focus on the pain
The only thing that's real
The needle tears a hole
The old familiar sting
Try to kill it all away
But I remember everything

What have I become
My sweetest friend
Everyone I know goes away
In the end
And you could have it all
My empire of dirt
I will let you down
I will make you hurt

I wear this crown of thorns
Upon my liar's chair
Full of broken thoughts
I cannot repair
Beneath the stains of time
The feelings disappear
You are someone else
I am still right here

What have I become
My sweetest friend
Everyone I know goes away
In the end
And you could have it all
My empire of dirt
I will let you down
I will make you hurt

If I could start again
A million miles away
I would keep myself
I would find a way",2002
Breathe Me,Sia,https://www.azlyrics.com/lyrics/sia/breatheme.html,"Help, I have done it again
I have been here many times before
Hurt myself again today
And the worst part is there's no one else to blame

Be my friend
Hold me, wrap me up
Unfold me
I am small and needy
Warm me up
And breathe me

Ouch, I have lost myself again
Lost myself and I am nowhere to be found,
Yeah, I think that I might break
Lost myself again and I feel unsafe

Be my friend
Hold me, wrap me up
Unfold me
I am small and needy
Warm me up
And breathe me

Be my friend
Hold me, wrap me up
Unfold me
I am small and needy
Warm me up
And breathe me",2006
My Immortal,Evanescence,https://www.azlyrics.com/lyrics/evanescence/myimmortal.html,"I'm so tired of being here
Suppressed by all my childish fears
And if you have to leave
I wish that you would just leave
'Cause your presence still lingers here
And it won't leave me alone

These wounds won't seem to heal
This pain is just too real
There's just too much that time cannot erase

When you cried I'd wipe away all of your tears
When you'd scream I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me

You used to captivate me by your resonating light
Now I'm bound by the life you left behind
Your face, it haunts my once pleasant dreams
Your voice, it chased away all the sanity in me

These wounds won't seem to heal
This pain is just too real
There's just too much that time cannot erase

When you cried I'd wipe away all of your tears
When you'd scream I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me

I've tried so hard to tell myself that you're gone
But though you're still with me
I've been alone all along

When you cried I'd wipe away all of your tears
When you'd scream I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me
All of me... me... me...",emo:
Colorblind,Counting Crows,https://www.azlyrics.com/lyrics/countingcrows/colorblind.html,"I am colorblind
Coffee black and egg white
Pull me out from inside
I am ready 
I am ready 
I am ready 
I am
Taffy stuck, tongue tied 
Stuttered shook and uptight
Pull me out from inside
I am ready
I am ready
I am ready
I am...fine
I am covered in skin
No one gets to come in
Pull me out from inside
I am folded, and unfolded, and unfolding
I am
colorblind
Coffee black and egg white
Pull me out from inside
I am ready 
I am ready
I am ready
I am...fine
I am.... fine
I am fine",1999
Goodbye My Lover,James Blunt,https://www.azlyrics.com/lyrics/jamesblunt/goodbyemylover.html,"Did I disappoint you or let you down?
Should I be feeling guilty or let the judges frown?
'Cause I saw the end before we'd begun.
Yes, I saw you were blinded and I knew I had won.

So, I took what's mine by eternal right,
Took your soul out into the night.
It may be over but it won't stop there.
I am here for you if you'd only care.

You touched my heart, you touched my soul,
You changed my life and all my goals.
And love is blind, and that I knew, when
My heart was blinded by you.

I've kissed your lips and held your head.
Shared your dreams and shared your bed.
I know you well, I know your smell.
I've been addicted to you.

[2x]
Goodbye, my lover.
Goodbye, my friend.
You have been the one.
You have been the one for me.

I am a dreamer,
And when I wake,
You can't break my spirit.
It's my dreams you take.

And as you move on,
Remember me,
Remember us,
And all we used to be.

I've seen you cry,
I've seen you smile.
I've watched you sleeping for a while.
I'd be the father of your child.
I'd spend a lifetime with you.

I know your fears and you know mine.
We've had our doubts but now we're fine.
And I love you,
I swear that's true.
I cannot live without you.

[2x]
Goodbye, my lover.
Goodbye, my friend.
You have been the one.
You have been the one for me.

And I still hold your hand in mine,
In mine when I'm asleep.
And I will bare my soul in time,
When I'm kneeling at your feet.

[2x]
Goodbye, my lover.
Goodbye, my friend.
You have been the one.
You have been the one for me.

I'm so hollow, baby, I'm so hollow.
I'm so, I'm so, I'm so hollow.
I'm so hollow, baby, I'm so hollow.
I'm so, I'm so, I'm so hollow.",2004
Hallelujah,Jeff Buckley,https://www.azlyrics.com/lyrics/jeffbuckley/hallelujah.html,"Well, I heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music, do you?
Well it goes like this:
The fourth, the fifth, the minor fall and the major lift
The baffled king composing Hallelujah

Hallelujah, Hallelujah, Hallelujah, Hallelujah...

Well your faith was strong but you needed proof
You saw her bathing on the roof
Her beauty and the moonlight overthrew ya
She tied you to her kitchen chair
She broke your throne and she cut your hair
And from your lips she drew the Hallelujah

Hallelujah, Hallelujah, Hallelujah, Hallelujah...

Well, baby, I've been here before
I've seen this room and I've walked this floor (you know)
I used to live alone before I knew ya
And I've seen your flag on the marble arch
And love is not a victory march
It's a cold and it's a broken Hallelujah

Hallelujah, Hallelujah, Hallelujah, Hallelujah...

Well, there was a time when you let me know
What's really going on below
But now you never show that to me, do ya?
But remember when I moved in you
And the holy dove was moving too
And every breath we drew was Hallelujah

Hallelujah, Hallelujah, Hallelujah, Hallelujah...

Maybe there's a God above
But all I've ever learned from love
Was how to shoot somebody who outdrew ya
And it's not a cry that you hear at night
It's not somebody who's seen the light
It's a cold and it's a broken Hallelujah

Hallelujah, hallelujah, hallelujah, hallelujah...
Hallelujah, hallelujah, hallelujah, hallelujah...
Hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah",P:  
9 Crimes,Damien Rice,https://www.azlyrics.com/lyrics/damienrice/9crimes.html,"Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be thinking of you
It's the wrong time
For somebody new
It's a small crime
And I've got no excuse

Is that alright?
Give my gun away when it's loaded
Is that alright?
If you don't shoot it how am I supposed to hold it
Is that alright?
Give my gun away when it's loaded
Is that alright
With you?

Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be cheating on you
It's the wrong time
She's pulling me through
It's a small crime
And I've got no excuse

Is that alright?
I give my gun away when it's loaded
Is that alright?
If you don't shoot it, how am I supposed to hold it
Is that alright?
I give my gun away when it's loaded
Is that alright
Is that alright with you?

Is that alright?
I give my gun away when it's loaded
Is that alright?
If you don't shoot it, how am I supposed to hold it
Is that alright?
If I give my gun away when it's loaded
Is that alright
Is that alright with you?

Is that alright?
Is that alright?
Is that alright with you?
Is that alright?
Is that alright?
Is that alright with you?

No...",2006
Everybody Hurts,R.E.M.,https://www.azlyrics.com/lyrics/rem/everybodyhurts.html,"When the day is long
And the night, the night is yours alone
When you're sure you've had enough
Of this life, well hang on

Don't let yourself go
'Cause everybody cries
And everybody hurts sometimes

Sometimes everything is wrong
Now it's time to sing along
When your day is night alone (Hold on, hold on)
If you feel like letting go (Hold on)
If you think you've had too much
Of this life, well hang on

'Cause everybody hurts
Take comfort in your friends
Everybody hurts
Don't throw your hand, oh no

Don't throw your hand
If you feel like you're alone
No, no, no, you are not alone

If you're on your own in this life
The days and nights are long
When you think you've had too much of this life to hang on

Well, everybody hurts sometimes
Everybody cries
And everybody hurts sometimes
And everybody hurts sometimes

So hold on, hold on
Hold on, hold on, hold on, hold on, hold on, hold on
Everybody hurts

No, no, no, no you are not alone",1992
The Scientist,Coldplay,https://www.azlyrics.com/lyrics/coldplay/thescientist.html,"Come up to meet you, tell you I'm sorry
You don't know how lovely you are

I had to find you
Tell you I need you
Tell you I set you apart

Tell me your secrets
And ask me your questions
Oh, let's go back to the start

Running in circles
Coming up tails
Heads on a science apart

Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard

Oh, take me back to the start

I was just guessing
At numbers and figures
Pulling the puzzles apart

Questions of science
Science and progress
Do not speak as loud as my heart

Tell me you love me
Come back and haunt me
Oh, and I rush to the start

Running in circles
Chasing our tails
Coming back as we are

Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard

I'm going back to the start

Oh
Oh
Oh
Oh",2002
Hurt,Christina Aguilera,https://www.azlyrics.com/lyrics/christinaaguilera/hurt.html,"Seems like it was yesterday when I saw your face
You told me how proud you were but I walked away
If only I knew what I know today
Ooh ooh

I would hold you in my arms
I would take the pain away
Thank you for all you've done
Forgive all your mistakes.

There's nothing I wouldn't do
To hear your voice again.
Sometimes I wanna call you but I know you won't be there

Oh, I'm sorry for blaming you for everything I just couldn't do
And I've hurt myself by hurting you

Some days I feel broke inside but I won't admit
Sometimes I just wanna hide 'cause it's you I miss
And it's so hard to say goodbye when it comes to this, ooh, whoa

Would you tell me I was wrong?
Would you help me understand?
Are you looking down upon me?
Are you proud of who I am?

There's nothing I wouldn't do
To have just one more chance
To look into your eyes and see you looking back

Oh, I'm sorry for blaming you for everything I just couldn't do
And I've hurt myself, oh, oh, oh.

If I had just one more day
I would tell you how much that I've missed you since you've been away

Oh, it's dangerous
It's so out of line
To try and turn back time

I'm sorry for blaming you for everything I just couldn't do
And I've hurt myself by hurting you",2006
Hallelujah,Rufus Wainwright,https://www.azlyrics.com/lyrics/rufuswainwright/hallelujah.html,"I've heard there was a secret chord
That David played, and it pleased the Lord
But you don't really care for music, do you?
It goes like this
The fourth, the fifth
The minor fall, the major lift
The baffled king composing Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

Your faith was strong but you needed proof
You saw her bathing on the roof
Her beauty and the moonlight overthrew you
She tied you to a kitchen chair
She broke your throne, she cut your hair
And from your lips she drew the Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

Maybe I have been here before
I know this room, I've walked this floor
I used to live alone before I knew you
I've seen your flag on the marble arch
Love is not a victory march
It's a cold and it's a broken Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

There was a time you let me know
What's real and going on below
But now you never show it to me, do you?
And remember when I moved in you?
The holy dark was moving too
And every breath we drew was Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

Maybe there's a god above
And all I ever learned from love
Was how to shoot at someone who outdrew you
And it's not a cry you can hear at night,
It's not somebody who's seen the light
It's a cold and it's a broken Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah",
Angel,Sarah McLachlan,https://www.azlyrics.com/lyrics/sarahmclachlan/angel.html,"Spend all your time waiting
for that second chance
for a break that would make it okay
there's always some reason
to feel not good enough
and it's hard at the end of the day
I need some distraction
oh beautiful release
memories seep from my veins
let me be empty
and weightless and maybe
I'll find some peace tonight

in the arms of the angel
fly away from here
from this dark cold hotel room
and the endlessness that you fear
you are pulled from the wreckage
of your silent reverie
you're in the arms of the angel
may you find some comfort here

so tired of the straight line
and everywhere you turn
there's vultures and thieves at your back
and the storm keeps on twisting
you keep on building the lies
that you make up for all that you lack
it don't make no difference
escaping one last time
it's easier to believe in this sweet madness oh
this glorious sadness that brings me to my knees

in the arms of the angel
fly away from here
from this dark cold hotel room
and the endlessness that you fear
you are pulled from the wreckage
of your silent reverie
you're in the arms of the angel
may you find some comfort here
you're in the arms of the angel
may you find some comfort here",1997
Creep,Radiohead,https://www.azlyrics.com/lyrics/radiohead/creep.html,"When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fucking special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here

I don't care if it hurts
I want to have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fucking special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here

Oh, oh

She's running out again
She's running out
She run run run run
Run

Whatever makes you happy
Whatever you want
You're so fucking special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
I don't belong here",1993
Roads,Portishead,https://www.azlyrics.com/lyrics/portishead/roads.html,"Ohh, can't anybody see
We've got a war to fight
Never found our way
Regardless of what they say

How can it feel, this wrong
From this moment
How can it feel, this wrong

Storm.. in the morning light
I feel
No more can I say
Frozen to myself

I got nobody on my side
And surely that ain't right
And surely that ain't right

Ohh, can't anybody see
We've got a war to fight
Never found our way
Regardless of what they say

How can it feel, this wrong
From this moment
How can it feel, this wrong

[INSTRUMENTAL]

How can it feel, this wrong
From this moment
How can it feel, this wrong

Ohh, can't anybody see
We've got a war to fight
Never found our way
Regardless of what they say

How can it feel, this wrong
From this moment
How can it feel, this wrong",1994
Tears in Heaven,Eric Clapton,https://www.azlyrics.com/lyrics/ericclapton/tearsinheaven.html,"Would you know my name
If I saw you in heaven?
Would it be the same
If I saw you in heaven?

I must be strong
And carry on
'Cause I know I don't belong
Here in heaven

Would you hold my hand
If I saw you in heaven?
Would you help me stand
If I saw you in heaven?

I'll find my way
Through night and day
'Cause I know I just can't stay
Here in heaven

Time can bring you down
Time can bend your knees
Time can break your heart
Have you begging please, begging please

Beyond the door
There's peace I'm sure
And I know there'll be no more
Tears in heaven

Would you know my name
If I saw you in heaven?
Would you be the same
If I saw you in heaven?

I must be strong
And carry on
'Cause I know I don't belong
Here in heaven

'Cause I know I don't belong
Here in heaven",1992
